icon,description,,,,,,,,,,,,,
:?),smile,,,,,,,,,,,,,
:),smile,,,,,,,,,,,,,
:-],smile,,,,,,,,,,,,,
:],smile,,,,,,,,,,,,,
:-3,smile,,,,,,,,,,,,,
:3,smile,,,,,,,,,,,,,
:->,smile,,,,,,,,,,,,,
:>,smile,,,,,,,,,,,,,
8-),smile,,,,,,,,,,,,,
8),smile,,,,,,,,,,,,,
:-},smile,,,,,,,,,,,,,
:},smile,,,,,,,,,,,,,
:o),smile,,,,,,,,,,,,,
:c),smile,,,,,,,,,,,,,
:^),smile,,,,,,,,,,,,,
=],smile,,,,,,,,,,,,,
=),smile,,,,,,,,,,,,,
:?D,big grin,,,,,,,,,,,,,
:D,big grin,,,,,,,,,,,,,
8?D,big grin,,,,,,,,,,,,,
8D,big grin,,,,,,,,,,,,,
x?D,big grin,,,,,,,,,,,,,
xD,big grin,,,,,,,,,,,,,
X?D,big grin,,,,,,,,,,,,,
XD,big grin,,,,,,,,,,,,,
=D,big grin,,,,,,,,,,,,,
B^D,big grin,,,,,,,,,,,,,
c:,big grin,,,,,,,,,,,,,
C:,big grin,,,,,,,,,,,,,
:-)),very happy,,,,,,,,,,,,,
:?(,frown,,,,,,,,,,,,,
:(,frown,,,,,,,,,,,,,
:?c,frown,,,,,,,,,,,,,
:c,frown,,,,,,,,,,,,,
:?<,frown,,,,,,,,,,,,,
:<,frown,,,,,,,,,,,,,
:?[,frown,,,,,,,,,,,,,
:[,frown,,,,,,,,,,,,,
:-||,frown,,,,,,,,,,,,,
>:[,frown,,,,,,,,,,,,,
:{,frown,,,,,,,,,,,,,
:@,frown,,,,,,,,,,,,,
:(,frown,,,,,,,,,,,,,
;(,frown,,,,,,,,,,,,,
:'?(,crying,,,,,,,,,,,,,
:'(,crying,,,,,,,,,,,,,
:'?),happy tears,,,,,,,,,,,,,
:'),happy tears,,,,,,,,,,,,,
D?':,horror,,,,,,,,,,,,,
D:<,disgust,,,,,,,,,,,,,
D:,horror,,,,,,,,,,,,,
D8,horror,,,,,,,,,,,,,
D;,horror,,,,,,,,,,,,,
D=,horror,,,,,,,,,,,,,
DX,horror,,,,,,,,,,,,,
:?O,shock,,,,,,,,,,,,,
:?o,shock,,,,,,,,,,,,,
:-0,shock,,,,,,,,,,,,,
8?0,shock,,,,,,,,,,,,,
